_id,source,timestamp,name,city,country,postcode,street,categories,longitude,latitude,website,formatted_address
69c1d5376c5864d8c76a6863,geoapify_api,2026-03-24 01:05:11.449,Trg oslobođenja - Alija Izetbegović,Sarajevo,Bosnia and Herzegovina,,,"leisure, leisure.park, tourism, tourism.sights, tourism.sights.square",18.424207494739104,43.85835360053679,,"Trg oslobođenja - Alija Izetbegović, MZ ""Ferhadija"", Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6864,geoapify_api,2026-03-24 01:05:11.450,Spomen-park Vraca,Sarajevo,Bosnia and Herzegovina,71000,Teočačka,"natural, natural.forest, tourism, tourism.sights",18.397842836204582,43.843487800537176,,"Vraca Memorial Park, Teočačka, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6865,geoapify_api,2026-03-24 01:05:11.450,Kasarna Jajce,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"building, building.historic, no_access, tourism, tourism.sights",18.440023765856957,43.86088505053674,,"Jajce (former military barracks), Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6866,geoapify_api,2026-03-24 01:05:11.450,Vijećnica,Sarajevo,Bosnia and Herzegovina,71200,Brodac,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.monument",18.43334677255322,43.85916650053677,,"City Hall, Brodac 1, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6867,geoapify_api,2026-03-24 01:05:11.451,Kula Širokac,Sarajevo,Bosnia and Herzegovina,71200,Vratnik mejdan,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.437060750328783,43.8623327005367,,"Kula Širokac, Vratnik mejdan, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6868,geoapify_api,2026-03-24 01:05:11.451,Višegradska kapija,Sarajevo,Bosnia and Herzegovina,71200,Višegradska kapija,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.445762311111014,43.861882400536714,,"Višegradska kapija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6869,geoapify_api,2026-03-24 01:05:11.451,Crkva svetog Vinka Paulskoga,Sarajevo,Bosnia and Herzegovina,71000,Maršala Tita,"building, building.historic, building.place_of_worship, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.church",18.41883045907473,43.858707200536784,,"Crkva svetog Vinka Paulskoga, Maršala Tita, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a686a,geoapify_api,2026-03-24 01:05:11.452,Museum of the Jews of Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,71000,Velika avlija - Mula Mustafe Bašeskije,"building, building.historic, building.tourism, entertainment, entertainment.museum, heritage, tourism, tourism.sights",18.427801026409924,43.85983370053676,,"Museum of the Jews of Bosnia and Herzegovina, Velika avlija - Mula Mustafe Bašeskije bb, 71000 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a686b,geoapify_api,2026-03-24 01:05:11.452,Sarajevska sahat-kula,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti veliki,"building, building.historic, building.tourism, heritage, man_made, man_made.tower, tourism, tourism.attraction, tourism.sights, tourism.sights.tower",18.428558717983485,43.85920950053678,,"Sarajevo Clock Tower, Mudželiti veliki, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a686c,geoapify_api,2026-03-24 01:05:11.452,At mejdan,Sarajevo,Bosnia and Herzegovina,71144,Hamdije Kreševljakovića,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42718282322576,43.856672250536846,,"At mejdan, Hamdije Kreševljakovića, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a686d,geoapify_api,2026-03-24 01:05:11.453,Tašlihan,Sarajevo,Bosnia and Herzegovina,71144,Zelenih beretki,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42791229528881,43.85859200053679,,"Tašlihan, Zelenih beretki, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a686e,geoapify_api,2026-03-24 01:05:11.453,Velika kula Barice,City of Sarajevo,Bosnia and Herzegovina,71200,Barice,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.442555774850888,43.88391380053615,,"Velika kula Barice, Barice, 71200 City of Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a686f,geoapify_api,2026-03-24 01:05:11.453,Džamija Šejh Feraha,Sarajevo,Bosnia and Herzegovina,71200,Abdesthana,"building, building.historic, building.place_of_worship, heritage, religion, religion.place_of_worship, religion.place_of_worship.islam, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.mosque",18.432882184146344,43.86157620053672,,"Džamija Šejh Feraha, Abdesthana, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6870,geoapify_api,2026-03-24 01:05:11.454,Zgrada željezničke stanice Bistrik,Sarajevo,Bosnia and Herzegovina,71144,Put Mladih Muslimana,"building, building.historic, building.tourism, building.transportation, entertainment, entertainment.museum, tourism, tourism.sights",18.432780699999995,43.852725250536935,,"Zgrada željezničke stanice Bistrik, Put Mladih Muslimana, 71144 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6871,geoapify_api,2026-03-24 01:05:11.455,Palež kula,MZ Trebević,Bosnia and Herzegovina,71144,Књегињац,"building, building.historic, tourism, tourism.sights, tourism.sights.fort",18.42649774877675,43.838180100537286,,"Palež kula, Књегињац, 71144 MZ Trebević, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6872,geoapify_api,2026-03-24 01:05:11.455,Kula Ploče,Sarajevo,Bosnia and Herzegovina,71200,Dizdareva,"building, building.historic, tourism, tourism.sights, tourism.sights.city_gate",18.43657015901379,43.86315605053667,,"Kula Ploče, Dizdareva, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6873,geoapify_api,2026-03-24 01:05:11.455,Kuća Alije Đerzeleza,Sarajevo,Bosnia and Herzegovina,71200,Sagrdžije,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights",18.429591774258867,43.86443245053664,,"Kuća Alije Đerzeleza, Sagrdžije, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6874,geoapify_api,2026-03-24 01:05:11.456,Hastahana,Sarajevo,Bosnia and Herzegovina,,,"tourism, tourism.sights, tourism.sights.square",18.410173715520433,43.85736105053682,,"Hastahana, Mjesna zajednica Marijin Dvor, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6875,geoapify_api,2026-03-24 01:05:11.456,Gazi Husrev-begovo turbe,Sarajevo,Bosnia and Herzegovina,71200,Čizmedžiluk,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.tomb",18.42934343549286,43.85918000053678,,"Tomb of Gazi Khusrev-beg, Čizmedžiluk, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6876,geoapify_api,2026-03-24 01:05:11.456,Šeher-ćehajina ćuprija,Sarajevo,Bosnia and Herzegovina,71200,Šeher-ćehajina ćuprija,"heritage, tourism, tourism.sights",18.434052332226834,43.85875590053679,,"Šeher-ćehaja Bridge, Šeher-ćehajina ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69c1d5376c5864d8c76a6877,geoapify_api,2026-03-24 01:05:11.457,Goat's Bridge,Sarajevo,Bosnia and Herzegovina,71200,Kozija ćuprija,"heritage, man_made, man_made.bridge, tourism, tourism.sights, tourism.sights.bridge",18.457187030166352,43.853652550536914,,"Goat's Bridge, Kozija ćuprija, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf71,geoapify_api,2026-04-06 01:11:09.699,Dom Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Zelenih beretki,"activity, activity.community_center, building, building.historic, building.public_and_civil, heritage, tourism, tourism.sights",18.424119991873905,43.857283450536826,http://www.mod.gov.ba/,"Armed Forces Hall of Bosnia and Herzegovina, Zelenih beretki 2, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf72,geoapify_api,2026-04-06 01:11:09.728,Zajednički štab Oružanih snaga BiH,Sarajevo,Bosnia and Herzegovina,71000,Bistrik,"building, building.historic, building.military, building.office, office, office.government, tourism, tourism.sights",18.42997029604072,43.85677605053684,http://www.mod.gov.ba/,"Joint Staff of the Armed Forces of BiH, Bistrik 5, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf73,geoapify_api,2026-04-06 01:11:09.729,Gazi Husrev-begov bezistan,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti mali,"building, building.commercial, building.historic, commercial.marketplace, tourism, tourism.sights",18.428078799964112,43.858746650536794,,"Gazi Husrev Bey's Bezistan, Mudželiti mali, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf74,geoapify_api,2026-04-06 01:11:09.730,Aškenaška sinagoga,Sarajevo,Bosnia and Herzegovina,71000,Hamdije Kreševljakovića,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.judaism, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.synagogue, wheelchair, wheelchair.limited",18.42508063267082,43.85631050053685,,"Ashkenazi Synagogue, Hamdije Kreševljakovića, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf75,geoapify_api,2026-04-06 01:11:09.730,Katedrala Srca Isusova,Sarajevo,Bosnia and Herzegovina,71000,Trg Fra Grge Martića,"building, building.historic, building.place_of_worship, building.tourism, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.attraction, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.cathedral",18.425363070006362,43.859430400536766,https://katedrala-sarajevo.com/,"Sacred Heart Cathedral, Trg Fra Grge Martića, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf76,geoapify_api,2026-04-06 01:11:09.731,Kampus Univerziteta u Sarajevu,Sarajevo,Bosnia and Herzegovina,71000,Zmaja od Bosne,"education, education.university, tourism, tourism.sights",18.39618016506104,43.85666530053684,https://www.unsa.ba/,"University of Sarajevo Campus, Zmaja od Bosne 8, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf77,geoapify_api,2026-04-06 01:11:09.731,Žuta tabija,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"tourism, tourism.attraction, tourism.attraction.viewpoint, tourism.sights, tourism.sights.castle",18.437723658241435,43.86145795053672,,"Žuta tabija, Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf78,geoapify_api,2026-04-06 01:11:09.731,Bijela tabija,Sarajevo,Bosnia and Herzegovina,71200,Poddžebhana,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.castle",18.444489951844396,43.85936525053677,,"Bijela tabija, Poddžebhana, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf79,geoapify_api,2026-04-06 01:11:09.732,Stari grad Vratnik,City of Sarajevo,Bosnia and Herzegovina,,,"populated_place, populated_place.quarter, tourism, tourism.sights",18.441290705076725,43.86307795053668,,"Stari grad Vratnik, MZ ""Vratnik"", City of Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf7a,geoapify_api,2026-04-06 01:11:09.732,Bistrik Kula,Sarajevo,Bosnia and Herzegovina,71144,Old Bobsleigh track,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.43811875367792,43.84218715053719,,"Bistrik Kula, Old Bobsleigh track, 71144 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf7b,geoapify_api,2026-04-06 01:11:09.732,Trg oslobođenja - Alija Izetbegović,Sarajevo,Bosnia and Herzegovina,,,"leisure, leisure.park, tourism, tourism.sights, tourism.sights.square",18.424207494739104,43.85835360053679,,"Trg oslobođenja - Alija Izetbegović, MZ ""Ferhadija"", Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf7c,geoapify_api,2026-04-06 01:11:09.733,Spomen-park Vraca,City of Sarajevo,Bosnia and Herzegovina,71000,,"heritage, leisure, leisure.park, tourism, tourism.sights, tourism.sights.memorial, wheelchair, wheelchair.limited",18.397842836204582,43.843487800537176,,"Vraca Memorial Park, 71000 City of Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf7d,geoapify_api,2026-04-06 01:11:09.733,Kasarna Jajce,Sarajevo,Bosnia and Herzegovina,71200,Bijela česma,"building, building.historic, no_access, tourism, tourism.sights",18.440023765856957,43.86088505053674,,"Jajce (former military barracks), Bijela česma, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf7e,geoapify_api,2026-04-06 01:11:09.734,Vijećnica,Sarajevo,Bosnia and Herzegovina,71200,Brodac,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.monument",18.43334677255322,43.85916650053677,,"City Hall, Brodac 1, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf7f,geoapify_api,2026-04-06 01:11:09.734,Kula Širokac,Sarajevo,Bosnia and Herzegovina,71200,Vratnik mejdan,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.437060750328783,43.8623327005367,,"Kula Širokac, Vratnik mejdan, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf80,geoapify_api,2026-04-06 01:11:09.734,Višegradska kapija,City of Sarajevo,Bosnia and Herzegovina,71200,Višegradska kapija,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights, tourism.sights.city_gate",18.445762311111014,43.861882400536714,,"Višegradska kapija, 71200 City of Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf81,geoapify_api,2026-04-06 01:11:09.735,Crkva svetog Vinka Paulskoga,Sarajevo,Bosnia and Herzegovina,71000,Maršala Tita,"building, building.historic, building.place_of_worship, religion, religion.place_of_worship, religion.place_of_worship.christianity, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.church",18.41883045907473,43.858707200536784,,"Crkva svetog Vinka Paulskoga, Maršala Tita, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf82,geoapify_api,2026-04-06 01:11:09.735,Museum of the Jews of Bosnia and Herzegovina,Sarajevo,Bosnia and Herzegovina,71000,Velika avlija - Mula Mustafe Bašeskije,"building, building.historic, building.tourism, entertainment, entertainment.museum, heritage, tourism, tourism.sights",18.427801026409924,43.85983370053676,,"Museum of the Jews of Bosnia and Herzegovina, Velika avlija - Mula Mustafe Bašeskije bb, 71000 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf83,geoapify_api,2026-04-06 01:11:09.736,Sarajevska sahat-kula,Sarajevo,Bosnia and Herzegovina,71200,Mudželiti veliki,"building, building.historic, building.tourism, heritage, man_made, man_made.tower, tourism, tourism.attraction, tourism.sights, tourism.sights.tower",18.428558717983485,43.85920950053678,,"Sarajevo Clock Tower, Mudželiti veliki, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf84,geoapify_api,2026-04-06 01:11:09.736,At mejdan,Sarajevo,Bosnia and Herzegovina,71144,Obala Isa-bega Isakovića,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42718282322576,43.856672250536846,,"At mejdan, Obala Isa-bega Isakovića, 71144 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf85,geoapify_api,2026-04-06 01:11:09.736,Tašlihan,Sarajevo,Bosnia and Herzegovina,71144,Zelenih beretki,"tourism, tourism.sights, tourism.sights.archaeological_site",18.42791229528881,43.85859200053679,,"Tašlihan, Zelenih beretki, 71144 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf86,geoapify_api,2026-04-06 01:11:09.737,Velika kula Barice,City of Sarajevo,Bosnia and Herzegovina,71200,Barice,"building, building.historic, tourism, tourism.sights, tourism.sights.castle",18.442555774850888,43.88391380053615,,"Velika kula Barice, Barice, 71200 City of Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf87,geoapify_api,2026-04-06 01:11:09.737,Džamija Šejh Feraha,Sarajevo,Bosnia and Herzegovina,71200,Abdesthana,"building, building.historic, building.place_of_worship, heritage, religion, religion.place_of_worship, religion.place_of_worship.islam, tourism, tourism.sights, tourism.sights.place_of_worship, tourism.sights.place_of_worship.mosque",18.432882184146344,43.86157620053672,,"Džamija Šejh Feraha, Abdesthana, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf88,geoapify_api,2026-04-06 01:11:09.738,Zgrada željezničke stanice Bistrik,Sarajevo,Bosnia and Herzegovina,71144,Put Mladih Muslimana,"building, building.historic, building.tourism, building.transportation, entertainment, entertainment.museum, tourism, tourism.sights",18.432780699999995,43.852725250536935,,"Zgrada željezničke stanice Bistrik, Put Mladih Muslimana, 71144 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf89,geoapify_api,2026-04-06 01:11:09.739,Palež kula,MZ Trebević,Bosnia and Herzegovina,71144,Књегињац,"building, building.historic, tourism, tourism.sights, tourism.sights.fort",18.42649774877675,43.838180100537286,,"Palež kula, Књегињац, 71144 MZ Trebević, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf8a,geoapify_api,2026-04-06 01:11:09.740,Kula Ploče,Sarajevo,Bosnia and Herzegovina,71200,Ploča,"building, building.historic, tourism, tourism.sights, tourism.sights.city_gate",18.43657015901379,43.86315605053667,,"Kula Ploče, Ploča, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf8b,geoapify_api,2026-04-06 01:11:09.741,Kuća Alije Đerzeleza,Sarajevo,Bosnia and Herzegovina,71200,Sagrdžije,"building, building.historic, building.tourism, tourism, tourism.attraction, tourism.sights",18.429591774258867,43.86443245053664,,"Kuća Alije Đerzeleza, Sagrdžije, 71200 Sarajevo, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf8c,geoapify_api,2026-04-06 01:11:09.741,Hastahana,Sarajevo,Bosnia and Herzegovina,,,"tourism, tourism.sights, tourism.sights.square",18.410173715520433,43.85736105053682,,"Hastahana, Mjesna zajednica Marijin Dvor, Sarajevo, Sarajevo Canton, Bosnia and Herzegovina"
69d2ec0dca6787a8e772cf8d,geoapify_api,2026-04-06 01:11:09.742,Gazi Husrev-begovo turbe,Sarajevo,Bosnia and Herzegovina,71200,Čizmedžiluk,"building, building.historic, tourism, tourism.sights, tourism.sights.memorial, tourism.sights.memorial.tomb",18.42934343549286,43.85918000053678,,"Tomb of Gazi Khusrev-beg, Čizmedžiluk, 71200 Sarajevo, Bosnia and Herzegovina"
